id,guideline_id,section_type,text_summary,page,strength_grade,section_id_ref
NICE_REC_011,NICE,ClinicalSigns,"Table of late-onset infection indicators by category: behaviour (carer concern for behaviour change, appears unwell, reduced wakefulness, abnormal cry), respiratory (respiratory rate ≥60/min, grunting, apnoea, low oxygen saturation), circulation (heart rate ≥160bpm or <100bpm), skin (mottled/ashen appearance, cyanosis, non-blanching rash), and other features (temperature abnormality, feeding changes, abdominal distension, seizures, bulging fontanelle).",25,,NICE_S11
NICE_REC_012,NICE,LaboratoryInvestigations,"Recommends obtaining a blood culture before the first antibiotic dose, and measuring baseline CRP (used together with subsequent readings to assess likelihood of infection and response to treatment) whenever antibiotics are started for possible infection. Advises against routine urine microscopy/culture or skin swab testing in neonatal units unless localized infection signs are present; urine testing remains appropriate for late-onset infection in babies cared for outside neonatal units, per UTI guidance.",28,,NICE_S12
NICE_REC_013,NICE,LaboratoryInvestigations,"Recommends performing lumbar puncture for a cerebrospinal fluid sample, if safe to do so, when there is strong clinical suspicion of infection or clinical features suggesting meningitis.",29,,NICE_S13
NICE_REC_014,NICE,Contraindications,"Requires stabilizing an unprotected airway, respiratory compromise, shock, uncontrolled seizures, or bleeding risk before lumbar puncture. Lists contraindications: extensive or rapidly spreading purpura, infection at the puncture site, risk factors for an evolving space-occupying lesion, and features suggesting raised intracranial pressure (new focal neurological signs, abnormal pupillary reactions, progressive fall in consciousness).",29,,NICE_S14
NICE_REC_015,NICE,LaboratoryInvestigations,"Specifies CSF investigations for suspected bacterial meningitis: red/white cell count and differential, total protein, glucose concentration (with CSF:blood glucose ratio), Gram-stain microscopy, culture and sensitivities, and PCR for relevant pathogens. Cell counts, protein and glucose results should be available within 4 hours. Interpretation should account for blood contamination, prior antibiotic exposure and age-appropriate reference thresholds, alongside clinical presentation and maternal history; alternative causes should be considered if results are abnormal.",30,,NICE_S15
NICE_REC_016,NICE,StoppingCriteria,"States that CRP results alone must not be used to decide on starting, continuing, or stopping antibiotic treatment.",32,,NICE_S16
NICE_REC_017,NICE,Monitoring,"For babies on antibiotics due to late-onset infection risk factors/indicators, recommends measuring CRP 18 to 24 hours after starting treatment. Recommends considering a lumbar puncture (if not already done and thought safe) in a baby who has a positive blood culture other than coagulase negative staphylococcus, an unsatisfactory response to antibiotics, strong clinical suspicion of infection, or signs suggesting meningitis.",34,,NICE_S17
NICE_REC_018,NICE,SpecialSituations,"For purulent eye discharge, recommends urgent swab sampling able to detect chlamydia and gonococcus, with empirical systemic antibiotic treatment for possible gonococcal infection started while microbiology results are awaited. For signs of umbilical infection (purulent discharge or periumbilical cellulitis), recommends blood culture, a swab for microscopy/culture, and starting IV flucloxacillin plus gentamicin; gentamicin should be stopped if the infection is confirmed not to be caused by a Gram-negative organism.",35,,NICE_S18
NICE_REC_019,NICE,FirstLineAntibiotics,"Recommends IV benzylpenicillin with gentamicin as first-choice empirical treatment for suspected early-onset infection unless local resistance data indicate otherwise. Benzylpenicillin is dosed 25 mg/kg every 12 hours (shortened to every 8 hours if the baby appears very unwell). Gentamicin starting dose is 5 mg/kg, with an evidence-supported (off-label) interval of every 36 hours; a second dose is usually given 36 hours after the first unless clinical judgement (very unwell baby, Gram-negative organism on culture) indicates a shorter interval. If Gram-negative sepsis is confirmed, an additional Gram-negative-active agent (e.g. cefotaxime) should be added and benzylpenicillin stopped.",36,,NICE_S19
NICE_REC_020,NICE,Duration,"Recommends 7 days of IV antibiotics for babies with a positive blood culture, or a negative culture where sepsis was strongly suspected. Suggests considering more than 7 days if the baby has not yet fully recovered, or if warranted by the pathogen identified on culture (seeking expert microbiological advice where needed).",37,,NICE_S20
NICE_REC_021,NICE,StoppingCriteria,"Directs stopping antibiotics at 36 hours when the blood culture is negative, initial clinical suspicion of infection was not strong, the baby's clinical condition is reassuring with no clinical indicators of possible infection, and CRP levels/trends are reassuring. If IV antibiotics continue beyond 36 hours despite a negative culture, the ongoing need should be reviewed at least every 24 hours based on initial suspicion, clinical progress, and CRP trends.",37,,NICE_S21
NICE_REC_022,NICE,AlternativeAntibiotics,"For babies born from 35+0 weeks with a negative blood culture who need more than 36 hours of treatment because initial clinical suspicion was strong, recommends considering a switch from IV to oral antibiotics at or after 36 hours to complete a total of up to 7 days, provided the baby's clinical condition and CRP trends are reassuring and oral feeds are tolerated. Amoxicillin is the recommended oral agent unless local resistance data indicate otherwise (noted as not specifically licensed for this indication). Home treatment with parent/carer support can be considered, requiring senior neonatologist/paediatrician sign-off, parent/carer training and safety-netting before discharge, and at least 2 follow-up consultations including one at treatment completion.",38,,NICE_S22
NICE_REC_023,NICE,FirstLineAntibiotics,"For babies with suspected late-onset infection already in a neonatal unit, recommends narrow-spectrum combination first-line therapy (e.g. IV flucloxacillin plus gentamicin), selected using local (or national) resistance data, ensuring coverage of both Gram-positive and Gram-negative organisms, with an anaerobic agent (e.g. metronidazole) added if necrotising enterocolitis is suspected. Babies admitted from home should be treated per the relevant suspected-sepsis-in-under-16s recommendations.",40,,NICE_S23
NICE_REC_024,NICE,StoppingCriteria,"For babies started on antibiotics for suspected late-onset infection, recommends considering stopping at 48 hours if the blood culture is negative, initial clinical suspicion was not strong, the baby's clinical condition is reassuring with no clinical indicators of infection, and CRP levels/trends are reassuring.",41,,NICE_S24
NICE_REC_025,NICE,Duration,"Recommends 7 days of treatment for babies with a positive blood culture, with consideration of a longer course for incomplete recovery, certain pathogens (e.g. Gram-negative organisms, Staphylococcus aureus), or specific infection sites (intra-abdominal co-pathology, necrotising enterocolitis, osteomyelitis, catheter infection). A shorter course is recommended when recovery is prompt and either no pathogen or only a common commensal (e.g. coagulase negative staphylococcus) is identified. Ongoing antibiotics beyond 48 hours with negative cultures should be reviewed at least every 24 hours.",41,,NICE_S25
NICE_REC_026,NICE,SpecialSituations,"Recommends prophylactic oral nystatin for babies treated with antibiotics for suspected late-onset bacterial infection who have a birthweight up to 1,500 g or were born before 30 weeks' gestation, with IV fluconazole as an off-label alternative when oral administration is not feasible, dosed by clinical judgement.",43,,NICE_S26
NICE_REC_027,NICE,FirstLineAntibiotics,"For babies in a neonatal unit with suspected meningitis and an unknown causative pathogen, recommends IV amoxicillin plus cefotaxime.",44,,NICE_S27
NICE_REC_028,NICE,AlternativeAntibiotics,"If meningitis is shown to be Gram-negative, stop amoxicillin and continue cefotaxime alone. If Gram-positive on Gram stain, continue amoxicillin and cefotaxime pending culture and seek microbiological advice. If CSF culture is positive for GBS, consider changing to benzylpenicillin (50 mg/kg every 12 hours, normally at least 14 days) plus gentamicin (starting 5 mg/kg every 36 hours, adjusted per clinical judgement/trough levels, for 5 days). If culture is positive for Listeria, consider stopping cefotaxime and treating with amoxicillin and gentamicin. Other Gram-positive organisms besides GBS or Listeria warrant expert microbiological advice.",44,,NICE_S28
NICE_REC_029,NICE,SpecialSituations,"Advises against routinely restricting fluid intake below routine maintenance needs in babies with bacterial meningitis, and recommends giving maintenance fluids orally or by enteral tube where tolerated.",45,,NICE_S29
NICE_REC_030,NICE,Monitoring,"Recommends measuring trough gentamicin concentration immediately before the second dose (to inform the third dose), repeating before every subsequent third dose or more often if there is concern about prior troughs or renal function. Target trough is under 2 mg/litre (under 1 mg/litre if the course exceeds 3 doses). Doses should not be withheld solely for delayed trough results unless there is evidence of impaired renal function (e.g. raised urea/creatinine or anuria).",51,,NICE_S30
NICE_REC_031,NICE,Monitoring,"Recommends considering peak gentamicin concentration measurement (taken 1 hour after dosing) in selected babies, such as those with oedema, macrosomia, poor response to treatment, or confirmed Gram-negative infection; suggests considering a dose increase if the peak is below 8 mg/litre in babies with Gram-negative or staphylococcal infection.",51,,NICE_S31
NICE_REC_032,NICE,SpecialSituations,"Suggests considering completion of IV antibiotic courses outside hospital (e.g. at home or via a midwifery-led unit) for babies who are clinically well with adequate local support, taking into account the baby's clinical needs and the competencies required for safe care (e.g. IV cannula insertion and management).",53,,NICE_S32
NICE_REC_033,NICE,ParentCommunication,"When infection is clinically suspected, talk to the baby's parents/carers, explain the reason for concern and the management options (observation, investigations, or antibiotic treatment); do not delay treatment, but give time for questions where possible before treatment decisions are made.",9,,NICE_S_PC01
NICE_REC_034,NICE,ParentCommunication,"When starting antibiotics for suspected early- or late-onset infection, discuss with parents/carers: the reason for treatment, the risks and benefits for their baby, the planned observations/investigations (including what guides stopping treatment), the chosen antibiotic regimen and how it will be given, expected duration, and any impact on where the baby or birthing parent will be cared for.",9,,NICE_S_PC02
NICE_REC_035,NICE,ParentCommunication,"Maintain communication with the birthing parent during any handover of care related to infection risk, including planned staff changes, and include an update on infection status in the handover.",9,,NICE_S_PC03
NICE_REC_036,NICE,ParentCommunication,"For babies considered at increased risk of early-onset infection, inform their parents and GP both verbally and in writing, at discharge from hospital/midwifery-led unit or in the immediate postnatal period if born at home.",9,,NICE_S_PC04
NICE_REC_037,NICE,ParentCommunication,"Advise parents/carers with a prior pregnancy affected by GBS colonisation, bacteriuria, or infection that a future baby will be at increased risk of early-onset GBS infection, to inform their maternity team of this history, and that intrapartum antibiotics will be offered in a future pregnancy; inform the GP of this risk in writing.",9,,NICE_S_PC05
NICE_REC_038,NICE,ParentCommunication,"Before transferring a baby home, advise parents/carers (in person and in writing) to seek urgent medical help if the baby shows abnormal behaviour, is unusually floppy, has an abnormal temperature, abnormal breathing, a colour change, or new feeding difficulties.",13,,NICE_S_PC06
NICE_REC_039,NICE,NutritionFluid,"Reassure parents/carers that a baby with or at increased risk of neonatal infection can usually continue breastfeeding, and that support will be given; if breastfeeding is temporarily not possible, provide support for expressing breast milk.",9,,NICE_S_NF01
NICE_REC_040,NICE,NutritionFluid,Do not routinely restrict fluid intake below routine maintenance needs in babies with confirmed bacterial meningitis; give maintenance fluids orally or by enteral tube if tolerated (see NICE's separate guideline on intravenous fluid therapy in children and young people for further guidance).,45,,NICE_S_NF02
